Unnamed: 0,H,M,S,Nome,Maquina,IP,Anomalia,Fator_risco
128,13,6,3,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,32.13881166470213
129,13,35,3,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,36.27803606500521
130,15,6,3,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.58,0,3.5584587108780195
131,15,28,3,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.51,0,9.039878701212695
132,18,55,3,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.58,0,2.6665486134189242
133,16,31,3,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.68,0,8.167262156602462
134,13,29,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,23.896164177875704
135,13,33,5,sid@empresax.COM.BR,empresaxWKS11$,192.168.100.78,0,24.06410239294393
136,15,9,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.61,0,7.940100992761973
137,15,13,5,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.59,0,7.649842271083211
138,15,44,5,dora@empresax.COM.BR,empresaxNOTE-LAB03$,192.168.100.66,0,8.144431350436767
139,15,54,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,3.172488044620202
140,16,2,5,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.57,0,2.248636193829252
141,16,0,5,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.59,0,1.1758530714083915
142,16,30,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,1.023239793285613
143,16,39,5,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,8.250172563302048
144,16,46,5,laracroft@empresax.COM.BR,empresaxWKS13A$,192.168.100.65,0,2.0079333867381823
145,17,10,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,8.995605171472299
146,17,32,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,4.586188154294277
147,17,50,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.61,0,3.0813641401711123
148,18,8,5,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,7.398920715123387
149,18,14,5,sid@empresax.COM.BR,empresaxWKS11$,192.168.100.78,0,1.717080474904532
150,18,28,5,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,4.6666886877363964
151,18,54,5,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,2.6664554942780483
152,20,9,5,sid@empresax.COM.BR,empresaxWKS11$,192.168.100.78,0,55.87248592757587
153,21,12,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,55.307674441513186
154,21,12,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,51.103554309233395
155,5,47,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,97.24528375400787
156,6,59,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,41.26910905601418
157,9,56,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,2.019478440442107
158,12,15,5,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.59,0,21.558397616769703
159,12,5,3,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,33.35201565255648
160,15,11,3,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,3.2424914378678538
161,15,7,3,pogó@empresax.COM.BR,empresaxLAB05$,192.168.100.66,0,2.01875382650163
162,17,58,3,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,0.9387488363376506
163,11,52,3,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,0,2.323577080204932
164,14,0,3,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,0.22788910322190103
165,14,31,3,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,2.9436956677063275
166,7,52,3,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,40.59473562081975
167,17,16,3,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.51,0,7.016151773087664
168,12,47,3,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,20.024958700973695
169,16,19,3,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.58,0,0.06789613197851319
170,16,22,3,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.51,0,9.478181717290413
171,16,28,3,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.55,0,0.666000345051847
172,16,56,3,pogó@empresax.COM.BR,empresaxLAB05$,192.168.100.66,0,2.9645712572503493
173,17,35,3,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.60,0,8.980846381373947
174,2,52,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,96.83469980681404
175,11,53,3,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,7.463449057079858
176,19,26,3,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.60,0,55.01113483166015
177,20,44,3,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,50.212681513163744
178,2,1,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,98.75094329561347
179,15,28,3,backwidow@empresax.COM.BR,empresaxWKSS06$,192.168.100.71,0,4.8936099180627775
180,17,22,3,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,0.9921387368966039
181,19,40,3,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.58,0,54.78078901870187
182,7,37,3,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,43.419886034700625
183,13,42,3,laracroft@empresax.COM.BR,empresaxWKS13A$,192.168.100.75,0,35.43380219321442
184,15,45,3,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.60,0,4.750627666702085
185,13,52,6,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,20.87416356068297
186,23,37,6,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,1,
187,16,44,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.102.210,0,4.556111345072141
188,16,8,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,5.711581479887439
189,19,21,5,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.55,0,56.76760314214217
190,16,8,5,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,2.214977197889353
191,16,40,5,laracroft@empresax.COM.BR,empresaxWKS13A$,192.168.100.75,0,8.989828596047516
192,16,8,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,3.4914447053305873
193,18,5,5,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,0.5591359944452556
194,12,40,2,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.51,0,36.78345252148266
195,16,1,2,laracroft@empresax.COM.BR,empresaxWKS13A$,192.168.100.64,0,9.757419239346275
196,16,26,2,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,2.720813407623055
197,18,48,2,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,5.001180817060672
198,3,19,2,pogó@empresax.COM.BR,empresaxLAB05$,192.168.100.66,1,98.3008229487978
199,13,13,2,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.56,0,37.5046582590593
200,13,20,2,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.51,0,24.23157862723824
201,18,13,2,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.56,0,8.723066894930689
202,18,41,2,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,2.8928140402038904
203,20,1,2,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.56,0,55.360922893535474
204,21,27,2,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.51,0,51.516121576112866
205,23,13,2,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.56,0,
206,11,46,2,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,3.327421786419934
207,15,49,2,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,0.39528787193255366
208,19,15,2,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,53.3787561912371
209,20,8,2,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,0,57.61002135684797
210,21,46,2,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.51,0,56.16375393548931
211,22,7,2,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,1,
212,22,59,2,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.51,0,
213,22,58,2,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.51,0,
214,11,43,2,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,0,4.454001562007921
215,15,3,2,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,1.1926031210820764
216,22,56,2,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.60,1,
217,23,3,2,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,1,
218,12,55,2,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,25.806729939800015
219,14,13,2,theteacher@empresax.COM.BR,empresaxLAB02$,192.168.100.57,0,6.738278946572953
220,19,28,2,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.59,0,54.133793270751504
221,20,3,2,laracroft@empresax.COM.BR,empresaxWKS13A$,192.168.100.64,0,58.42392708919381
222,11,35,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,4.634281648148094
223,11,40,4,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,0.8761114968576045
224,11,43,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.54,0,1.9830224041787292
225,12,6,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,36.97791519458252
226,12,40,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,26.083255661841687
227,12,47,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,38.43048856672061
228,13,35,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,27.038902152941212
229,13,42,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,39.650754276182646
230,13,47,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,38.78645610015097
231,13,56,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,34.393314928281114
232,14,12,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,8.793815431811616
233,14,52,4,sid@empresax.COM.BR,empresaxWKS11$,192.168.100.78,0,5.6898960698555925
234,16,23,4,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.56,0,2.7417050295639944
235,16,45,4,sid@empresax.COM.BR,empresaxWKS11$,192.168.100.78,0,8.258426616324432
236,17,57,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,6.126111874646384
237,17,53,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.54,0,8.710661005284495
238,18,13,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,8.19478995925676
239,18,18,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.54,0,5.603105608444644
240,18,17,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,9.227013714183418
241,18,51,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,7.585384594845774
242,19,9,4,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.56,0,59.86344644392497
243,19,24,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,52.417919811169334
244,19,56,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,59.81164500437887
245,20,49,4,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,52.75800819083375
246,11,35,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,1.3519550167441041
247,11,40,4,maryjane@empresax.COM.BR,empresaxLAB04$,192.168.100.62,0,1.0668750245725978
248,11,43,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.54,0,4.764334678748622
249,12,6,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,23.24586278203221
250,12,40,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,28.725637766475288
251,12,47,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,39.374430209765144
252,13,35,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,35.66346413847345
253,13,42,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,37.849020104895985
254,13,47,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,36.83361199675957
255,13,56,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,34.77305192811411
256,14,12,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,0.7703599642485637
257,14,52,4,sid@empresax.COM.BR,empresaxWKS11$,192.168.100.78,0,3.3078484174465075
258,16,23,4,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.56,0,0.6775057831910902
259,16,45,4,sid@empresax.COM.BR,empresaxWKS11$,192.168.100.78,0,5.6784158686572095
260,17,57,4,pogó@empresax.COM.BR,empresaxTAB01$,192.168.100.67,0,6.963064961774736
261,17,53,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.54,0,3.1310800399332726
262,18,13,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,8.893383862970392
263,18,18,4,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.100.54,0,9.066005048305723
264,18,17,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,9.121421160433272
265,18,51,4,magaiver@empresax.COM.BR,empresaxWKS14A$,192.168.100.59,0,8.311785087475501
266,19,9,4,jinx@empresax.COM.BR,empresaxLAB03$,192.168.100.56,0,59.59747591852967
267,19,24,4,hanskelsen@empresax.COM.BR,empresaxWKS05$,192.168.100.64,0,51.985328830853874
268,19,56,4,hanskelsen@empresax.COM.BR,HYPERV$,192.168.100.64,0,56.868292936893745
269,20,49,4,mutley@empresax.COM.BR,HYPERV$,192.168.102.221,0,53.44259824565254
270,17,12,0,kael-el@empresax.COM.BR,empresaxWKSLEN02$,192.168.109.52,0,2.0449839318987206
